Rank,Name,Win_Ratio,Wins,Total_Comparisons,Average_Opponent_Rank
1,Jesus,1.0,11.0,11.0,0.6650142415516747
2,Charlemagne,1.0,18.0,18.0,0.5459842668982654
3,Muhammad,0.9871794871794872,77.0,78.0,0.5869217415314701
4,Gautama Buddha,0.9411764705882353,16.0,17.0,0.6292773496049744
5,Mahatma Gandhi,0.9375,15.0,16.0,0.5757752609763034
6,Confucius,0.9375,15.0,16.0,0.7294711109968463
7,Aristotle,0.9166666666666666,11.0,12.0,0.5656359907569886
8,Gottfried Wilhelm Leibniz,0.9,9.0,10.0,0.5001523476523476
9,Isaac Newton,0.8666666666666667,13.0,15.0,0.7127615186670915
10,Constantine the Great,0.8571428571428571,12.0,14.0,0.617234645054194
11,Marie Curie,0.8571428571428571,12.0,14.0,0.6979042260997147
12,Leonhard Euler,0.8461538461538461,11.0,13.0,0.5899280206972515
13,Plato,0.8333333333333334,10.0,12.0,0.5927601737635245
14,Nelson Mandela,0.8333333333333334,10.0,12.0,0.6550716644466645
15,Johannes Gutenberg,0.8333333333333334,10.0,12.0,0.6479257670434141
16,Paul the Apostle,0.8333333333333334,10.0,12.0,0.6917123725947256
17,Franklin D. Roosevelt,0.8125,13.0,16.0,0.6231076827584181
18,Socrates,0.8,12.0,15.0,0.6479116413907925
19,"Mary, mother of Jesus",0.8,12.0,15.0,0.6162098791007949
20,Albert Einstein,0.8,12.0,15.0,0.6140346641662432
21,Moses,0.8,12.0,15.0,0.5919915217787225
22,Laozi,0.7857142857142857,11.0,14.0,0.6101754577429058
23,James Clerk Maxwell,0.7857142857142857,11.0,14.0,0.5982704611104654
24,Augustus,0.7727272727272727,17.0,22.0,0.6338234181148619
25,Ashoka,0.7692307692307693,10.0,13.0,0.6411050487973564
26,Karl Marx,0.7647058823529411,13.0,17.0,0.5384115310005836
27,Euclid,0.75,12.0,16.0,0.6581704753579753
28,William Shakespeare,0.7333333333333333,11.0,15.0,0.5451290481670228
29,Simone de Beauvoir,0.7272727272727273,8.0,11.0,0.6347398813307904
30,Solomon,0.7272727272727273,8.0,11.0,0.5055096418732782
31,Al-Ghazali,0.7272727272727273,8.0,11.0,0.5073002754820937
32,John the Baptist,0.7272727272727273,8.0,11.0,0.48697629566444295
33,John Locke,0.7272727272727273,8.0,11.0,0.62004662004662
34,Pythagoras,0.7272727272727273,8.0,11.0,0.5457008900190718
35,Mustafa Kemal Atatürk,0.7272727272727273,8.0,11.0,0.48021336162878164
36,Galen,0.7272727272727273,8.0,11.0,0.5588048315321044
37,Ramesses II,0.7272727272727273,8.0,11.0,0.553730226992259
38,Nikola Tesla,0.7272727272727273,8.0,11.0,0.7030435473617291
39,Michael Faraday,0.7272727272727273,8.0,11.0,0.5956301274483092
40,Francis of Assisi,0.7272727272727273,8.0,11.0,0.52916477461932
41,Fyodor Dostoevsky,0.7272727272727273,8.0,11.0,0.491066145208838
42,Edward Jenner,0.7272727272727273,8.0,11.0,0.6587022603065384
43,Baruch Spinoza,0.7272727272727273,8.0,11.0,0.5353888535706719
